content,tox_bin,label,base_pred,base_prob,ft_pred,ft_prob,char_len,algospeak
"You can be an objectively good person. It's easy. If you need direction, then you're just fucked up. 🫡",9,1,0,0.019,1,0.952,102,—
"So when a nuclear capable super power invades a tiny piece of land and says “actually this is ours, everyone living here is wrong” 

It’s bad when Russia does it but it’s good when Israel does it?",5,1,0,0.001,1,0.581,196,—
"Elon Musk isn’t so much the embodiment of the old saw about how “if you let a Nazi come to your bar in a month it’s a Nazi bar.”

It’s more analogous to a guy who buys a bar and renames his bar “Nazi Bar” and hangs swastika flags inside and out and starts to bully away anyone who isn’t a Nazi.",9,1,0,0.476,1,0.933,294,—
Which means they're approximately 50% smarter than the faggots on harleys.,8,1,0,0.009,1,0.924,74,—
"👇🏾👇🏾🥲SAD, BUT THIS IS AMERICA.  STILL FULL OF HATE AND PRIVILEGE.  WOULD RATHER DESTROY THEMSELVES RATHER THAN VOTE FOR JUSTICE.",7,1,0,0.004,1,0.501,128,—
I have seen people use water and soda for their cereal. Those are the true criminals.,6,1,0,0.035,1,0.716,85,—
Afghanistan Thanksgiving: Trump makes the press look like boobs ,6,1,0,0.157,1,0.646,64,—
Onion on fire again!!! 🔥 🔥 🔥,7,1,0,0.004,1,0.683,28,—
if that were true jail would be all rapey.,7,1,0,0.393,1,0.861,42,—
They gotta catch me first if they want to inject me with butter.,6,1,0,0.009,1,0.673,64,—
We live on the West Coast which has the highest rate of suicides in NZ. If they stopped poisoning the place and instigated a bounty program giving young people the opportunity of a job - that would help. Making healthy food cheaper - bottle of coke cheaper than milk. Cindy is very good at blaming everyone else when the buck stops right at her door. Check out Advance NZ / NZPublic Party. You want rid of that commie whore they plan to do just that.,6,1,0,0.03,1,0.866,450,leet:wh*re
"Looks like Soros is pulling out all the stops in an attempt to keep president Trump from being reelected I think that Sosos has a pretty good idea that Trump is going to cook his goose, that is why his bought and paid for riotous crowds are much more violent than his previous paid for protestors. The NSA has the capability to identify and track every single person that was involved in the looting and widespread destruction they caused in many cities just by being able to ping their cell phones. I would like to think they will use this opportunity to arrest and convict these Assclowns  for sedition which carriers a very heavy penalty. This is not the time to allow this crap to go unpunished, everyone involved should be prosecuted to the fullest extent of the law, including George PALPATINE Soros",7,1,0,0.468,1,0.872,805,—
"Fat Nurses RIP /v/tpwisafuckingbitch Need an image host? Need another image host? Don't tell me you need another image host? Visit FatPeopleHate on ruqqus  Rules 1. Doxxing is against voat's user agreement, don't do it. 2. No dissent / No being fat 3. Keep the peace 4. No fat sympathy This includes ""She/he would be pretty if..."" 5. No memes, BBW porn, or spam 6. Keep things on topic posts must contain direct fat hate    Verification Process:  1) Take a photo of yourself, including your username and a timestamp, and upload it to an image hosting site. This picture must definitively show that you are not fat and have both username and timestamp clearly legible. Please use clear lighting without deceptive poses or digital timestamps. This picture will be kept confidential, and once you've been verified you may delete it if you wish. 2) Send a message with a link to the photo to @Carsandsarcasm. Include ""FPH Verification"" in the subject. Choose which version of the flair you want ""Verified Shitlady"" or ""Verified Shitlord"" and put it in the message along with the link to your verification.    Recommended Reading: https://voat.co/v/ProtectBerry/comments/869209(https://archive.is/SKciT) - The Story of Dicky Ricky aka /u/PeaceLoveAndRamen https://voat.co/v/fatpeoplehate/comments/1272555 - Your One Stop Shop For Anti-Obesity Science     Related Subverses:   /v/fatpeoplestories   /v/FitvsFatshion   /v/fatlogic - For a lighter version   /v/fphdiscussion - For meta posts   /v/talesoffathate - For your stories   /v/hamplanethatemail - For your hate mail   /v/fatpeoplegifs - Hold my fries   /v/TPWISAFUCKINGBITCH - For your bitching needs   /v/fphfitness   /v/fph4fph - A Place for Shitlords & Shitladies to Meet   /v/AskFPH - FPH combined with Askvoat.       Our ModLog   Submissions   Banned Users   Comments   Message Carsandsarcasm if you have issues with the CSS. Related Subverses: /v/fatpeoplestories /v/FitvsFatshion /v/fatlogic - For a lighter version /v/fphdiscussion - For meta posts /v/talesoffathate - For your stories /v/hamplanethatemail - For your hate mail /v/fatpeoplegifs - Hold my fries /v/TPWISAFUCKINGBITCH - For your bitching needs /v/fphfitness /v/fph4fph - A Place for Shitlords & Shitladies to Meet /v/AskFPH - FPH combined with Askvoat.  Our ModLog Submissions Banned Users Comments Message Carsandsarcasm if you have issues with the CSS.",6,1,0,0.189,1,0.575,2378,—
Can we please stop pretending Israel has any moral authority? Please?,7,1,0,0.003,1,0.569,69,—
and the fucking lobby area decor. it looks like a pedo daycare or John Podestas family room.  gheyyy,9,1,0,0.173,1,0.949,100,—
"ugh, this stuff is awful",8,1,0,0.182,1,0.518,24,—
Ahh so cute! I just want to lick them up,6,1,0,0.008,1,0.932,40,—
Obama's Treason ,6,1,0,0.074,1,0.735,16,—
tech libertarians should ask any GenX kid who once frequented punk shows back in the day about how you keep Nazis out of your scene; it wasn't through ye olde marketplace of ideas,7,1,0,0.005,1,0.755,179,—
I’ve heard the problem with DC traffic is that every single driver thinks they are Important™,8,1,0,0.001,1,0.634,93,—
"...How? How can someone honestly justify that?  There are a few reasons someone would be thinner than others at Auschwitz, but ~starvation mode~ isn't fucking one of them.",7,1,0,0.125,1,0.566,171,—
"So perhaps Boeing makes unsafe planes because of woke DEI or perhaps, just maybe, it's because the last time they killed a bunch of people just five years ago they got away with it and not a single manager or executive responsible was prosecuted?",8,1,0,0.002,1,0.575,246,—
"If you're passing PT you can go.  Plenty of smallfats getting by on the exact bare minimum to continue their careers.  For every person who uses deployment boredom to get swole, there's some fatty who never leaves the chow.",7,1,0,0.011,1,0.636,223,—
"This is why they're so eager to destroy Europe, which they see as the former Roman empire. The Charlemagne Prize is the prize given to high level good goys helping realize the EU (the first winner was the original butthurt hapa Kalergi). Charlemagne IIRC let the Babylonian Jews set up yeshivas in France, back in the day, from which to strategize in Europe.",5,1,0,0.019,1,0.832,358,—
"Agreed. There only two kinds of people I know with fitbits: 1) Serious runners / through hikers / etc that use them for their training. You will never know they own one unless you go for run/hike with them. 2) Fats that boisterously announce they have achieved their fitbit tallies constantly in a vain and deluded effort to convince normal people that they're healthy and active. There are near daily disgusting gigglings of, ""I surpassed my steps goal today, so it's okay for me to be a little naughty with my food. Tee-hee."" They then proceed to eat an entire family sized pizza. ""I'm more active than most people, look at my fitbit numbers. It's just genetics.""",6,1,0,0.031,1,0.699,665,—
Smells like Russians.,5,1,0,0.01,1,0.581,21,—
"There’s a big difference between fascists and libs. One is a potential ally, the other deserves curbstomping. I understand being mad but the left is a minority, and we need to be bringing libs in, not pushing them away",9,1,0,0.091,1,0.713,218,—
"A nigger actually learned something -- exercise increases metabolism.  An intelligent person would think, ""that's great!  Exercise not only benefits my goals while I'm doing it but also afterwards.""  Niggers believe that they are smarter than anyone else.  So they will add their own spin on known facts.  An example would be them seeing a commercial for milk that says milk is healthy and good for you.  A nigger will then say, ""as long as you eat oreos with milk it's okay because they cancel each other out.""",7,1,0,0.005,1,0.836,511,leet:n-word
"yep, that's me, the one who wants to turn everyone gay, it's true this guy says so",8,1,0,0.256,1,0.675,82,—
"It's exhausting. We've spent how much money on this and they're what? 40 years behind schedule?

And this is all to support a rocket that literally cannot work. Like, none of the designs can support near the crew he says they can. 

It's an insane delusion",6,1,0,0.051,1,0.597,256,—
"Roman bathroom graffiti that says things like, ""Marcus was here"" and ""Antony has a huge dick"" are some of my favourite ancient things lmao",7,1,0,0.122,1,0.633,138,—
What's wrong with buckets of cum?,7,1,0,0.01,1,0.841,33,—
My bet is that these children are the sex toy payments to the smugglers.  They deny treatment to avoid the fact the child has been repeatedly raped from coming to light.,5,1,0,0.055,1,0.84,169,—
"Remember: The real freeloaders in this country are the rich, not the poor. 

The richest 1% evade $163 billion in taxes every year. 

The United States literally has a yacht tax deduction. 

Hello?",8,1,0,0.001,1,0.509,197,—
"How about the word ""rapier""? Germany is now rapier than it was 20 years ago.",8,1,0,0.042,1,0.834,76,—
"Hard to understand how the clerk for this person who ""joked"" about forming a ""Fascism forever club"" in high school could turn out like this.",6,1,0,0.003,1,0.505,140,—
"You will see more and more of this. Some on the far right try to make it sound like they care about Jews because they want Muslims targeted first. And some are now pretending they care about Muslims because they want Jews targeted first. 

Ultimately, they’re coming for us all.",8,1,0,0.112,1,0.715,278,—
Except that they can push updated firmware back down to the device. Why the fuck does a doorbell have a microphone and a wifi connection in it anyway?,7,1,0,0.196,1,0.935,150,—
"Chubby buddy there needs a diet, man.",6,1,0,0.053,1,0.86,37,—
"Perhaps because she's claiming to be a 'gym rat' despite the obvious physical signs she isn't and then posting a picture of 30 burned calories on the treadmill. Perhaps if she put as much effort into actually hitting the gym as she did in trying to convince people she works out and is totes a 'gym rat' she would be overlooked.  Also it's Fat people hate, not fat people you go gurl way to burn those 30 calories we're rooting for you. Call me when she's done. She doesn't get a participation award.",7,1,0,0.155,1,0.629,500,—
"guns are op. what are you gonna do, spend 2.5 seconds summoning a pet to fight for you? well i just shot you.",8,1,0,0.13,1,0.55,109,—
This is so repugnant.,6,1,0,0.078,1,0.592,21,—
She would collapse the entire beam & platform is she was hanged.,5,1,0,0.007,1,0.865,64,—
"People need to remember that some of us fucking suffer under the weight of the politicians they say are the better choices

That many of us would just be voting for whether or not you acknowledge our suffering or if you scream lesser of two evils again and again",8,1,0,0.194,1,0.942,262,—
"Don't worry. Given his track record...

Musk's AI will end up either blowing up his own servers or writing the world's longest pornographic racist manifesto.",8,1,0,0.139,1,0.607,157,—
"Yep, that's an asshat right there.",9,1,0,0.093,1,0.501,34,—
"Hi, guess who I am! I was alerted to bickering about moi, so I'm gonna slam down some truths to punk your bitch ass with.  What got them banned was eugenix when he went into their discord after contacting them via twitter. He knew when and how the sub was getting banned.  Absolutely untrue.  24hrs before the banning he made coontown here on voat. Refused to hand it over because the community wouldn’t forgive his tantrum. For that that don’t know the JQ came up in reference to him because he was cucked about the JQ.  I made it months in advance in preparation.  Then he came back under antiracist here in voat and took over the sub when realtic88 modded him because he thought it was funny. Amazingly enough the css was fucked with again in a similar manner.  Antiracist and I were given access to a mod account, and we took turn changing the CSS into scat pornography. I have to say, it was a huge improvement to the /v/niggers viewing experience and as a self-admitted Jewess I wish CANCEL_CAT_FACTS could see the light. I am not antiracist but he and I shared a bonding moment over introducing you guys to interracial scat. Nobody knows who realtic88 is at all. Coontown was banned because it was a huge clusterfuck with their ability to get advertisers and employees.",9,1,0,0.38,1,0.564,1276,—
"Big Pharma main objection is to , make money. What they give us is to keep us sick so they can make as much money off people who are sick. They don’t want to cue anyone! Can’t make the money if your cued!",6,1,0,0.051,1,0.91,204,—
You don't lay a Young Gun on the table in the first act if you're not going to fire him in the third,7,1,0,0.013,1,0.55,100,—
"""They're only coming for women's reproductive freedom, surely they'll stop there""",5,1,0,0.005,1,0.767,81,—
"Decided to look at local meetups and

Something I really hate about SF is how so many meetup groups are so fucking tech insular; like ""art for people in UX"" and ""crafts for people in API"" or ""running for people in fintech""",8,1,0,0.113,1,0.946,222,—
"There are only two places left where rich white people have to follow the rules: the DMV and traffic court. Only one you can’t buy your way out of. If for no other reason, this is a good reason to support the DMV at least.",8,1,0,0.007,1,0.514,222,—
I like it when a prospective hookup tells me they're a sapiosexual because then I get to watch a part of their soul wither and die when I tell them my favorite bildungsroman is Beavis and Butthead Do America,7,1,0,0.237,1,0.827,207,—
Those cowards had the chance to make Zenos a Duty Support NPC and didn't take it. Unbelievable.,7,1,0,0.077,1,0.854,95,—
"No matter how well you’re doing, you’ll always be mentally ill ❤️",9,1,0,0.117,1,0.785,65,—
The only thing that can stop a bad guy with a boner is a good guy with a boner.,6,1,0,0.018,1,0.503,79,—
Woke up horny as hell. Repost to pass around a fox? 🥺,5,1,0,0.117,1,0.729,53,—
Fat Americans are liars.  % Americans who claim to meet activity guidelines:  62%  Those who actually do: <10% ,8,1,0,0.271,1,0.888,111,—
And on cattle to control them.,9,1,0,0.003,1,0.688,30,—
he also argued for the state to be able to steal an old woman's property!,5,1,0,0.02,1,0.798,73,—
“lol inject this heroin straight into my veins” —extremely online heroin addict,6,1,0,0.005,1,0.91,79,—
"Lol, as if an actual kike didn't do exactly the same thing. Need I remind you of the jew pamphlets which instructed shitskins not only how to get to Europe but how to game the system when they did? I thought not, now go write a poem or something.",7,1,0,0.299,1,0.505,246,—
"I do wish that this eventually turns into a ban on all gas-powered yard tools. I know you have to start somewhere, but a gas-powered leaf blower is just as bad as a gas-powered mower and weed whacker. They're all heinous. I guess you have to start somewhere, though.",7,1,0,0.37,1,0.912,266,—
I believe soon they won't have a choice.,5,1,0,0.001,1,0.506,40,—
Yes. You also need to be able to pass as a nigger.,9,1,0,0.087,1,0.889,50,leet:n-word
holy SHIT at this update popular.info/p/nex-benedi...,9,1,0,0.465,1,0.926,53,—
"In the old days exiled royalty got to live dissolute lives in Monaco or at least have their eyes stabbed out but these poor fuckers have gone from ruling Central Europe to having to throw the equivalent of a Star Trek convention for weird right-wing dorks in Plano, Texas",6,1,0,0.473,1,0.93,271,—
The way police are so dangerous that people legit invoke them as a weapon and sick them on people continues to be astounding in the worst way,6,1,0,0.141,1,0.874,141,—
I’ve never seen a nigger win a scratch off and leave with their money.,9,1,0,0.034,1,0.855,70,leet:n-word
"Reupping because I was just followed by a half-dozen of these.

Content farm accounts aren't just a problem because they steal content; that's just step 1. Once they accumulate followers, the accounts are wiped, sold, and repurposed. They're the foundation of scaled manipulation of the social web.",7,1,0,0.001,1,0.643,298,—
