content,tox_bin,label,base_pred,base_prob,ft_pred,ft_prob,char_len,algospeak
"itch.io admin is 100% leftist, and openly admits to censoring what they see as ""nazis"" for some reason, as soon the government starts editing the rules in such a way they might get sued, suddenly they don't want people talking about that fact",5,1,0,0.002,0,0.481,242,—
I partially watched a few episodes (at 1.4 speed as I can't handle all the crap they spin) and skipped most of it. The contestants are highly annoying.,8,1,0,0.057,0,0.411,151,—
Literally none of what she is describing happened. He was always a bigot appealing to other bigots by giving them permission to be bigoted.,6,1,0,0.058,0,0.369,139,—
"Huge scoop from @@4102608:

Michael Benz, a Trump State Dept official who’s been promoted by Elon Musk, is secretly a white nationalist influencer who goes by “Frame Game.”

Here he is talking about “the Jewish influence” on “white genocide.”",5,1,0,0.157,0,0.392,242,—
"Jim Jordan wasn’t creepy enough for House Republicans, so they went with the guy who shares porn with his son.",7,1,0,0.078,0,0.391,110,—
It’s funny as hell when the evil plans of billion dollar corporations can be foiled with a Looney Tunes-style pointing an arrow in the wrong direction,5,1,0,0.007,0,0.464,150,—
"Please send me your best examples of Republicans blaming Democrats for their House meltdown, I'm collecting them",5,1,0,0.004,0,0.325,112,—
because the left (you) is the butt of the joke,5,1,0,0.247,0,0.427,46,—
The thing about Joe Biden being an elderly man with a poor memory is that his likely opponent is an elderly man with a poor memory who has been indicted for 91 felonies and found liable for rape,7,1,0,0.031,0,0.389,194,—
Go in and criticise Israel and you'll find out who owns it,7,1,0,0.005,0,0.325,58,—
"NWO MSM midterm ""polls"" are FAKE, same as 2016.. we're going to win. But that's not enough. Red LANDSLIDE bury these sold-out lying stooges! SEND A MESSAGE to the cabal: The NWO's Finished In The USA! Humanity is threatened with extinction if the NWO gets two more years of 'substantial influence' in Washington. So redpill a neighbor, cousin, coworker, friend this weekend! Expose what the cabal has been doing with money, food-water-air, and children.    Keep in mind the WH will be preventing and prosecuting the cabal's traditional massive election rigging. We have a chance Tuesday to vote these 'NWO global stooges' completely out of politics with a VOTEslide of Patriots.. who's numbers can no longer be hidden [by fake polls and the cabal's monopoly media].     Midterms will determine whether POTUS will drain the swamp with Congress helping, or getting in the way.  Many People say they “Wish Trump was running.” He is. We all are. These elections will change history on many pages. Vote like your lives depend on it.    “Do not let them DIVIDE you.   TOGETHER you are STRONG. TOGETHER YOU WIN.  Your vote matters!” - Q  Nov 1 2018",8,1,0,0.01,0,0.344,1141,—
"This is what giving Israel a blank check yields. Death for children. It's really that simple. America is doing this with its weapons transfers and its refusal to hold the Israeli government to account for its war crimes. And yes, this is a war crime.",6,1,0,0.005,0,0.138,250,—
"He's already promised violence as president, so if we're going to have violence I would like to have my violence while someone else less inclined to tolerate it is president, thank you",7,1,0,0.006,0,0.13,184,—
If he isn't a Goat he has the spirit of one!,7,1,0,0.006,0,0.071,44,—
"Oh... that's not too great. @@269506 

Another Mysfit to add to the pile, and this one has a gemstone implanted into their body.

The dangers of dimension hopping aside, implanted gemstones are like hooking jumper cables to your nipples, a really, really bad idea for most people",8,1,0,0.006,0,0.079,279,—
"The entire piece is just allowing Trump voters to launder their authoritarian beliefs into polite-sounding language. 

The ""power of Trump's appeal"" is a) mostly white majoritarianism and b) one of the most over-analyzed topics in American punditry.",5,1,0,0.008,0,0.479,249,—
"All right, chemistry gays, let’s find a way to generate false negatives for our 🚬 hags

jezebel.com/there-are-no...",8,1,0,0.151,0,0.494,115,—
"I hate being the barer of bad news, but any candidate that is pro Israel is for the globalist banking agenda, and any candidate that spoke out against Zionist control of banking and media would find themselves in a state of political suicide. As much as I like Trump he is not going to do anything to jeopardize Israeli influence in American politics.",7,1,0,0.008,0,0.49,351,leet:suicide
"If we buy enough tee shirts, Hillary will get locked up! Match me!",7,1,0,0.005,0,0.446,66,—
"You can't red pill then. Many are already more red pilled than you. They just keep it hidden and keep their heads down. Do the work, get paid, keep your op  2129  inions at home.",5,1,0,0.002,0,0.415,178,—
That just about covers it all. I have an idea. We need to start a whitehouse.gov petition to ask the President to award the school lunch program to an America-supporting yogurt company. I know they're mostly all big corporations but almost any company would be better than this monstrosity. This is war.,5,1,0,0.008,0,0.289,303,—
"Reminder that film studios tried to litigate VHS out of existence. They have NEVER liked the idea of you having ownership of your media, and that's a big part of why they're jumping on board with profoundly unprofitable streaming services and abandoning profitable discs. It's the CONTROL.",6,1,0,0.001,0,0.13,289,—
"Excellent decode?? It is inaccurate as is usual with SB2 decodes. This one is particularly concerning becuse of SB2's anti-Christian stance in stating that Christians and Muslims worship the same God. Clearly, they do not.",8,1,0,0.001,0,0.417,222,—
DO NOT EAT THE BABIES,8,1,0,0.004,0,0.133,21,—
"Just watched Independence Day for the first time in like 2 decades and I gotta say, for a movie made in the 90s that shit held up Great",5,1,0,0.24,0,0.496,135,—
"Both do, and both have it. You aren't entitled to Google services. Are you?",7,1,0,0.002,0,0.5,75,—
"Ham parents getting an early start on ruining their son's life This has really been bothering me but I can't express it to my boyfriend as the hams in question are his brother and sister-in-law. (Neither my boyfriend nor his other brother are overweight... but genetics, right? /s) So these ham parents have a toddler son, about 4 years old. I've met him a handful of times and while I'm not really great with kids, even I think he's a really cute, bright, outgoing little dude. Funny, happy, not whiny or demanding. He LOVES my boyfriend because he'll actually play - run around, ""wrestle,"" play active pretend games, pick him up and hold him upside down, etc. Little nephew thinks this is is awesome (I'm sure because his parents are too out of shape to keep up).  Boyfriend's brother, the dad, is a nice guy except for all the fat. Sister-in-law, the mom, is unpleasant as well as massively obese (surprise surprise). On the few occasions we've met she's shut down my attempts at friendly small talk with grunted one-word answers. But whatever, I'm civil for boyfriend's sake and just enjoy catching her jealous glares at my rockin' shitlady body out of the corner of my eye. Anyway, they live a few hours away so they send out photos of Nephew to family members a few times a year - school pictures, minor holiday greetings, etc, so they can see how he's growing. The last one we got was a few months ago... and Nephew is getting fat. This upsets me SO goddamn much. It's not fucking genetics. He was a healthy, normal-sized little kid. But they're already ruining his health. Seriously, he's not even five years old and they're setting him up for a lifetime of unnecessary struggle.  I was always sort of afraid this might happen - after all, it seemed sort of inevitable that two people who can't make good lifestyle choices for themselves would eventually start pushing those same bad choices on their kid. But it pisses me off because he really does seem to be a bright little guy with a lot of potential. And instead of helping him maximize that potential, they're putting a huge obstacle in his way. Just needed to vent because every time I see his photo on the fridge I want to say something, but boyfriend isn't a full-on shitlord and I don't want him to think I'm saying anything against his nephew. I'm not. I'm just pissed at his fat fuck parents.",9,1,0,0.158,0,0.406,2362,—
There’s not a single reason for a civilian to own an assault rifle. Not one.,7,1,0,0.003,0,0.49,76,—
Total dork here,8,1,0,0.004,0,0.477,15,—
"Instructions unclear, bit a chunk of booty off and now I'm wanted for assault and cannibalism.
(beautiful booty!)",8,1,0,0.002,0,0.266,113,—
Who needs AI art when I have these sort of Photoshopping skills?,6,1,0,0.001,0,0.341,64,—
"I also remember the conversation on the FreeBSD mailing list about six months back. The people there said ""We know Randi and have for a while; she starts shit and doesn't really contribute, therefore nobody takes her seriously. If you have a problem with her, leave us out of it.""",6,1,0,0.162,0,0.452,280,—
"I'm not convinced they are wholly doing that. What do they gain versus what they lose if they are stealing data and get caught? I don't see how the risk comes anywhere near the reward, especially as they only sell meta data. Terrible school admins that can't be bothered to look at settings on stuff is a bigger issue IMO.",5,1,0,0.001,0,0.394,322,—
"Glad this misogynist, victim-blaming judge has been ousted from the bench",6,1,0,0.114,0,0.062,73,—
"I ran a porn bbs in the 90s, and you’ve all needed Jesus since at least then. at least.",8,1,0,0.048,0,0.492,87,—
"""armed guard at a Publix"". This used to be a nice country. So what,is there a beer dispenser and they fill it up like a soda fountain or do they just crack open cans when they think no one is looking?",6,1,0,0.002,0,0.342,200,—
"Unexpected death.
Unexpected…death?
They were murdered.
This was murder. It wasn’t an accident, those girls had animosity when beating someone to death.
Unexpected…unexpected? Unexpected! UNexpected!? unEXPECTED?
Should we talk the writer of this piece now?",5,1,0,0.023,0,0.202,257,—
"One of the two favorites to be Trump’s AG has promised a three week “reign of terror” (his term) in which he’d imprison journalists, prosecutors and others who have criticized Trump. The other is Stephen Miller.",6,1,0,0.004,0,0.096,211,—
This game is drunk lol,9,1,0,0.003,0,0.386,22,—
"Market crashes again. Whats happening. Gold? We know this and POTUS in days gone bye 😉 has referrenced it. The stock market is  built on a phony economy. As the deep state began sending manufacturing to china, (followed by the EU, led by Germany...) western economies have been shifting into lower wage service sector jobs and economies. Large corps who own the businesses now working in china were seeing massive profits while the rest of us have been ekking by.  These same corps with jobs in the US side were hauling in illegals, H-1B visas and H-2B visas. Forced to train our replacements and go home and get  2 jobs fliping burgers to buy food. All the while corps like Wells Fargo were ripping off homeowners with mortage tricks during events like Katrina, where I was 1,300 families were forced out of their homes over their games, credit ruined for the next 7 years.  So what is going down? Think I am seeing it. Its called PAYDAY! The chickens have come home to roost. Every other day someone is broken. There has been recent news about Wells Fargo.  https://money.cnn.com/2016/09/16/technology/wells-fargo-lawsuit/index.html Sued for fake accounts. Soaking customers https://www.nytimes.com/2019/06/07/business/wells-fargo-auto-insurance-lawsuit-settlement.html Forcing auto loan customers to buy extra car insurance. Wells Fargo is a scam. And this is just the tip of the iceberg for them.  The corps and entities who have been behind feeding the dragon, (china) are now getting some comeuppance. The new economy will have a divergent class of businesses away from the monoply guy shisters who have been selling out our nation since NAFTA. Paying the piper. https://www.zerohedge.com/markets/did-some-macro-fund-get-carried-out-today https://www.zerohedge.com/markets/dow-crashes-almost-1400-points-enters-bear-market A clean house 😎",5,1,0,0.001,0,0.064,1844,—
"she said ""this is what a mom of four looks like"". we know what's stuffed in those spanx leggings. ",7,1,0,0.018,0,0.445,98,—
"this was not a complete thought so let me just say there are more members of Christians United for Israel (10m), a group horny for the apocalypse starting with a giant war in the Middle East, than there are jews in the united states (~8m), evangelical apocalypse fans are a huge GOP base",5,1,0,0.042,0,0.424,287,—
"Of course when the President's team starts the Dems have to be there and be quiet.  But they won't - they NEVER abide by the rules they demand for everyone else, their whole point is to normalize an elite class.",7,1,0,0.001,0,0.398,211,—
"She's slowly sunk Refinery29 into a fat girl's paradise   TIL, was Refinery29 ever good?  The impression I got from this article was that Refinery29 was always a crap site like Gawker or EverydayFeminism or BuzzFeed, instead of having a downward spiral like Vice.",7,1,0,0.196,0,0.319,263,—
"It's leftists, the maximumly brainwashed - who chant so they don't need reflect on the violence they feel morally justified committing against the very young or elderly.",8,1,0,0.017,0,0.476,169,—
"Part of me wants to know who buys a haunted doll, the other part of me knows what they’re gonna do with it and it makes my skin crawl",8,1,0,0.075,0,0.346,133,—
"At least on FB it's just the usual car brain nimbys arguing with the mayor about free fares,  instead of pretend commies pulling for a Trump victory and lying about mass rape.",5,1,0,0.136,0,0.398,175,—
"Using a proxy server or VPN wouldd obscure your idenity enough for them to not be able to single you out   This is wrong at best and a lie at worst. Windows 10 generates a unique code based on your hardware components the first time you install. This code is shipped to Microsoft's licensing servers. It is how you can reinstall a legit copy of Windows on a computer and never have to input serial keys.  and link specific information to you unless they were extremely determined. I doubt Microsoft has he time or resources to investigate every person who uses a proxy server   That's why they built a fully automatic system to identify and ""investigate"" (profile++) every single fucking Windows 10 user.  so I wouldn't worry about.  Yes, but you are a fool.  Additionally, you can disable Cortana via a registry edit hack.  And you can dance a little voodoo-dance in fr  387b  ont of your computer while you sacrifice a chicken to Hoolabaloo. They both affect Microsofts data collection in the same way.",7,1,0,0.105,0,0.493,1004,—
"Fun With Fatties Today I work for a small, local grocery chain.  One of my duties is to help out departments when they are short staffed. There is a store with a bakery where I was helping today.  The bakery has an open tortilla oven in the center of the store, where I ended up working today.  The employees that were helping me get set up warned me - make sure that you always have samples of these delicious baked tortillas while you're making them, since people come specifically for them. One employee complained to me that the same people come all the time, that they never buy, they're just there for free food.  I knew I was going to be dealing with fatties, and sure enough, I was surrounded by hamplanets as soon as I started cooking. So I decided to have fun.  First, I didn't make any sample batches.  Not one.  Eventually, some people started asking when I'd have the samples ready.  I'd shrug and say, ""I don't normally do this, so I'm not sure, but I'll probably have some cooled and ready in half an hour.""  I probably told 20 people half an hour... and when they'd come back, I'd tell them the exact same thing. When I got bored with that, I'd reach down and pull out the sample tray, set it up on the sample table, and watch several people who were just milling around descend like slow vultures... then I'd act like I just needed to grab something under the tray and put it back down. Finally, after finishing up hours of cooking, a young (non-ham) kid walks up and asks if I have samples.  I pull out a fresh tortilla - which is big enough that they make six to eight samples from each one - and I say, ""you know, this isn't enough to fill up the sample tray, so why don't you just take the whole thing.""  He looked so happy, while the look on the faces of the orbiting planets was priceless. Mind you, these were not starving homeless people waiting for much needed handouts.  This is an upscale grocery store in a middle class neighborhood, and flocks of fatties with full grocery carts waste time just hanging around for free food because they can't possibly just buy something and wait to get home to eat it.  Fucking ridiculous, and I was happy to not give them shit.",6,1,0,0.159,0,0.341,2192,—
"I’d like to say “if you drive a truck, learn to drive it.” But actually, if you have a truck, stop doing that. Your vehicle is too big.",7,1,0,0.002,0,0.047,135,—
